"","X","id","gender","word","v","c1","c2","syldur","cdur","vdur","precbound","folbound","speechrate","fromstart","fromend","speaker","func","folacc","voic"
"1",1,"1001_qui_disent","M","qui","i","k","d",124,79,35,"1","-",7.03181,0,1,"M19L","f",TRUE,TRUE
"2",2,"1005_si_tu","M","si","i","s","t",138,97,31,"2","-",6.72836,0,3,"M21L","f",FALSE,TRUE
"3",3,"1006_qui_disait","M","qui","i","k","d",133,96,27,"2","-",7.73734,0,2,"M17L","f",FALSE,TRUE
"4",4,"1008_qui_te","F","qui","i","k","t",142,132,0,"1","-",4.70224,0,2,"F14R","f",FALSE,FALSE
"5",5,"1009_qui_ne","F","qui","i","k","n",145,108,27,"1","-",5.47508,0,4,"F12R","f",FALSE,TRUE
"6",6,"1012_qui_marchent","F","qui","i","k","m",135,84,41,"2","-",4.89083,0,1,"F16R","f",TRUE,TRUE
"7",7,"1019_si_tu","M","si","i","s","t",162,136,16,"1","-",6.06234,0,5,"M01L","f",FALSE,TRUE
"8",8,"1024_si_tu","M","si","i","s","t",96,86,0,"2","-",5.90092,0,2,"M18L","f",FALSE,FALSE
"9",9,"102_super","M","super","y","s","p",174,147,17,"-","-",5.35277,2,4,"M02R","c",FALSE,TRUE
"10",10,"1037_qui_critiquent","F","qui","i","k","k",99,41,48,"2","-",5.16594,0,2,"F14R","f",FALSE,TRUE
"11",11,"1038_si_tu","M","si","i","s","t",200,164,26,"2","-",6.28202,0,6,"M23R","f",FALSE,TRUE
"12",13,"103_tu_discutes","M","tu","y","t","d",82,72,0,"2","-",9.68495,0,7,"M22R","f",FALSE,FALSE
"13",14,"1051_qui_donnent","M","qui","i","k","d",66,35,21,"2","-",6.79115,0,1,"M23R","f",TRUE,TRUE
"14",15,"1053_qui_te","F","qui","i","k","t",154,123,21,"1","-",6.33128,0,1,"F16R","f",TRUE,TRUE
"15",16,"1055_si_tout","M","si","i","s","t",106,96,0,"2","-",8.90842,0,8,"M01R","f",FALSE,FALSE
"16",17,"1066_qui_me","F","qui","i","k","m",88,36,42,"1","-",6.88056,0,5,"F16L","f",FALSE,TRUE
"17",18,"1069_qui_dit","F","qui","i","k","d",72,62,0,"1","-",8.87378,0,1,"F14R","f",TRUE,FALSE
"18",20,"107_instituts","M","instituts","i","t","t",132,69,53,"-","1",4.36097,2,1,"M09L","c",TRUE,TRUE
